# material-design-x
bool,mtrl_btn_textappearance_all_caps
color,design_bottom_navigation_shadow_color
color,design_dark_default_color_background
color,design_dark_default_color_error
color,design_dark_default_color_on_background
color,design_dark_default_color_on_error
color,design_dark_default_color_on_primary
color,design_dark_default_color_on_secondary
color,design_dark_default_color_on_surface
color,design_dark_default_color_primary
color,design_dark_default_color_primary_dark
color,design_dark_default_color_primary_variant
color,design_dark_default_color_secondary
color,design_dark_default_color_secondary_variant
color,design_dark_default_color_surface
color,design_default_color_background
color,design_default_color_error
color,design_default_color_on_background
color,design_default_color_on_error
color,design_default_color_on_primary
color,design_default_color_on_secondary
color,design_default_color_on_surface
color,design_default_color_primary
color,design_default_color_primary_dark
color,design_default_color_primary_variant
color,design_default_color_secondary
color,design_default_color_secondary_variant
color,design_default_color_surface
color,design_fab_shadow_end_color
color,design_fab_shadow_mid_color
color,design_fab_shadow_start_color
color,design_fab_stroke_end_inner_color
color,design_fab_stroke_end_outer_color
color,design_fab_stroke_top_inner_color
color,design_fab_stroke_top_outer_color
color,design_snackbar_background_color
color,m3_ref_palette_black
color,m3_ref_palette_blue0
color,m3_ref_palette_blue10
color,m3_ref_palette_blue100
color,m3_ref_palette_blue20
color,m3_ref_palette_blue30
color,m3_ref_palette_blue40
color,m3_ref_palette_blue50
color,m3_ref_palette_blue60
color,m3_ref_palette_blue70
color,m3_ref_palette_blue80
color,m3_ref_palette_blue90
color,m3_ref_palette_blue95
color,m3_ref_palette_blue98
color,m3_ref_palette_blue_variant0
color,m3_ref_palette_blue_variant10
color,m3_ref_palette_blue_variant100
color,m3_ref_palette_blue_variant20
color,m3_ref_palette_blue_variant30
color,m3_ref_palette_blue_variant40
color,m3_ref_palette_blue_variant50
color,m3_ref_palette_blue_variant60
color,m3_ref_palette_blue_variant70
color,m3_ref_palette_blue_variant80
color,m3_ref_palette_blue_variant90
color,m3_ref_palette_blue_variant95
color,m3_ref_palette_blue_variant98
color,m3_ref_palette_cyan0
color,m3_ref_palette_cyan10
color,m3_ref_palette_cyan100
color,m3_ref_palette_cyan20
color,m3_ref_palette_cyan30
color,m3_ref_palette_cyan40
color,m3_ref_palette_cyan50
color,m3_ref_palette_cyan60
color,m3_ref_palette_cyan70
color,m3_ref_palette_cyan80
color,m3_ref_palette_cyan90
color,m3_ref_palette_cyan95
color,m3_ref_palette_cyan98
color,m3_ref_palette_error0
color,m3_ref_palette_error10
color,m3_ref_palette_error100
color,m3_ref_palette_error20
color,m3_ref_palette_error30
color,m3_ref_palette_error40
color,m3_ref_palette_error50
color,m3_ref_palette_error60
color,m3_ref_palette_error70
color,m3_ref_palette_error80
color,m3_ref_palette_error90
color,m3_ref_palette_error95
color,m3_ref_palette_error98
color,m3_ref_palette_error99
color,m3_ref_palette_green0
color,m3_ref_palette_green10
color,m3_ref_palette_green100
color,m3_ref_palette_green20
color,m3_ref_palette_green30
color,m3_ref_palette_green40
color,m3_ref_palette_green50
color,m3_ref_palette_green60
color,m3_ref_palette_green70
color,m3_ref_palette_green80
color,m3_ref_palette_green90
color,m3_ref_palette_green95
color,m3_ref_palette_green98
color,m3_ref_palette_grey0
color,m3_ref_palette_grey10
color,m3_ref_palette_grey100
color,m3_ref_palette_grey20
color,m3_ref_palette_grey30
color,m3_ref_palette_grey40
color,m3_ref_palette_grey50
color,m3_ref_palette_grey60
color,m3_ref_palette_grey70
color,m3_ref_palette_grey80
color,m3_ref_palette_grey90
color,m3_ref_palette_grey95
color,m3_ref_palette_grey98
color,m3_ref_palette_grey_variant0
color,m3_ref_palette_grey_variant10
color,m3_ref_palette_grey_variant100
color,m3_ref_palette_grey_variant20
color,m3_ref_palette_grey_variant30
color,m3_ref_palette_grey_variant40
color,m3_ref_palette_grey_variant50
color,m3_ref_palette_grey_variant60
color,m3_ref_palette_grey_variant70
color,m3_ref_palette_grey_variant80
color,m3_ref_palette_grey_variant90
color,m3_ref_palette_grey_variant95
color,m3_ref_palette_grey_variant98
color,m3_ref_palette_neutral0
color,m3_ref_palette_neutral10
color,m3_ref_palette_neutral100
color,m3_ref_palette_neutral12
color,m3_ref_palette_neutral17
color,m3_ref_palette_neutral20
color,m3_ref_palette_neutral22
color,m3_ref_palette_neutral24
color,m3_ref_palette_neutral30
color,m3_ref_palette_neutral4
color,m3_ref_palette_neutral40
color,m3_ref_palette_neutral50
color,m3_ref_palette_neutral6
color,m3_ref_palette_neutral60
color,m3_ref_palette_neutral70
color,m3_ref_palette_neutral80
color,m3_ref_palette_neutral87
color,m3_ref_palette_neutral90
color,m3_ref_palette_neutral92
color,m3_ref_palette_neutral94
color,m3_ref_palette_neutral95
color,m3_ref_palette_neutral96
color,m3_ref_palette_neutral98
color,m3_ref_palette_neutral99
color,m3_ref_palette_neutral_variant0
color,m3_ref_palette_neutral_variant10
color,m3_ref_palette_neutral_variant100
color,m3_ref_palette_neutral_variant20
color,m3_ref_palette_neutral_variant30
color,m3_ref_palette_neutral_variant40
color,m3_ref_palette_neutral_variant50
color,m3_ref_palette_neutral_variant60
color,m3_ref_palette_neutral_variant70
color,m3_ref_palette_neutral_variant80
color,m3_ref_palette_neutral_variant90
color,m3_ref_palette_neutral_variant95
color,m3_ref_palette_neutral_variant98
color,m3_ref_palette_neutral_variant99
color,m3_ref_palette_orange0
color,m3_ref_palette_orange10
color,m3_ref_palette_orange100
color,m3_ref_palette_orange20
color,m3_ref_palette_orange30
color,m3_ref_palette_orange40
color,m3_ref_palette_orange50
color,m3_ref_palette_orange60
color,m3_ref_palette_orange70
color,m3_ref_palette_orange80
color,m3_ref_palette_orange90
color,m3_ref_palette_orange95
color,m3_ref_palette_orange98
color,m3_ref_palette_pink0
color,m3_ref_palette_pink10
color,m3_ref_palette_pink100
color,m3_ref_palette_pink20
color,m3_ref_palette_pink30
color,m3_ref_palette_pink40
color,m3_ref_palette_pink50
color,m3_ref_palette_pink60
color,m3_ref_palette_pink70
color,m3_ref_palette_pink80
color,m3_ref_palette_pink90
color,m3_ref_palette_pink95
color,m3_ref_palette_pink98
color,m3_ref_palette_primary0
color,m3_ref_palette_primary10
color,m3_ref_palette_primary100
color,m3_ref_palette_primary20
color,m3_ref_palette_primary30
color,m3_ref_palette_primary40
color,m3_ref_palette_primary50
color,m3_ref_palette_primary60
color,m3_ref_palette_primary70
color,m3_ref_palette_primary80
color,m3_ref_palette_primary90
color,m3_ref_palette_primary95
color,m3_ref_palette_primary98
color,m3_ref_palette_primary99
color,m3_ref_palette_purple0
color,m3_ref_palette_purple10
color,m3_ref_palette_purple100
color,m3_ref_palette_purple20
color,m3_ref_palette_purple30
color,m3_ref_palette_purple40
color,m3_ref_palette_purple50
color,m3_ref_palette_purple60
color,m3_ref_palette_purple70
color,m3_ref_palette_purple80
color,m3_ref_palette_purple90
color,m3_ref_palette_purple95
color,m3_ref_palette_purple98
color,m3_ref_palette_red0
color,m3_ref_palette_red10
color,m3_ref_palette_red100
color,m3_ref_palette_red20
color,m3_ref_palette_red30
color,m3_ref_palette_red40
color,m3_ref_palette_red50
color,m3_ref_palette_red60
color,m3_ref_palette_red70
color,m3_ref_palette_red80
color,m3_ref_palette_red90
color,m3_ref_palette_red95
color,m3_ref_palette_red98
color,m3_ref_palette_secondary0
color,m3_ref_palette_secondary10
color,m3_ref_palette_secondary100
color,m3_ref_palette_secondary20
color,m3_ref_palette_secondary30
color,m3_ref_palette_secondary40
color,m3_ref_palette_secondary50
color,m3_ref_palette_secondary60
color,m3_ref_palette_secondary70
color,m3_ref_palette_secondary80
color,m3_ref_palette_secondary90
color,m3_ref_palette_secondary95
color,m3_ref_palette_secondary98
color,m3_ref_palette_secondary99
color,m3_ref_palette_tertiary0
color,m3_ref_palette_tertiary10
color,m3_ref_palette_tertiary100
color,m3_ref_palette_tertiary20
color,m3_ref_palette_tertiary30
color,m3_ref_palette_tertiary40
color,m3_ref_palette_tertiary50
color,m3_ref_palette_tertiary60
color,m3_ref_palette_tertiary70
color,m3_ref_palette_tertiary80
color,m3_ref_palette_tertiary90
color,m3_ref_palette_tertiary95
color,m3_ref_palette_tertiary98
color,m3_ref_palette_tertiary99
color,m3_ref_palette_white
color,m3_ref_palette_yellow0
color,m3_ref_palette_yellow10
color,m3_ref_palette_yellow100
color,m3_ref_palette_yellow20
color,m3_ref_palette_yellow30
color,m3_ref_palette_yellow40
color,m3_ref_palette_yellow50
color,m3_ref_palette_yellow60
color,m3_ref_palette_yellow70
color,m3_ref_palette_yellow80
color,m3_ref_palette_yellow90
color,m3_ref_palette_yellow95
color,m3_ref_palette_yellow98
color,m3_sys_color_dark_background
color,m3_sys_color_dark_error
color,m3_sys_color_dark_error_container
color,m3_sys_color_dark_inverse_on_surface
color,m3_sys_color_dark_inverse_primary
color,m3_sys_color_dark_inverse_surface
color,m3_sys_color_dark_on_background
color,m3_sys_color_dark_on_error
color,m3_sys_color_dark_on_error_container
color,m3_sys_color_dark_on_primary
color,m3_sys_color_dark_on_primary_container
color,m3_sys_color_dark_on_secondary
color,m3_sys_color_dark_on_secondary_container
color,m3_sys_color_dark_on_surface
color,m3_sys_color_dark_on_surface_variant
color,m3_sys_color_dark_on_tertiary
color,m3_sys_color_dark_on_tertiary_container
color,m3_sys_color_dark_outline
color,m3_sys_color_dark_outline_variant
color,m3_sys_color_dark_primary
color,m3_sys_color_dark_primary_container
color,m3_sys_color_dark_secondary
color,m3_sys_color_dark_secondary_container
color,m3_sys_color_dark_surface
color,m3_sys_color_dark_surface_bright
color,m3_sys_color_dark_surface_container
color,m3_sys_color_dark_surface_container_high
color,m3_sys_color_dark_surface_container_highest
color,m3_sys_color_dark_surface_container_low
color,m3_sys_color_dark_surface_container_lowest
color,m3_sys_color_dark_surface_dim
color,m3_sys_color_dark_surface_variant
color,m3_sys_color_dark_tertiary
color,m3_sys_color_dark_tertiary_container
color,m3_sys_color_light_background
color,m3_sys_color_light_error
color,m3_sys_color_light_error_container
color,m3_sys_color_light_inverse_on_surface
color,m3_sys_color_light_inverse_primary
color,m3_sys_color_light_inverse_surface
color,m3_sys_color_light_on_background
color,m3_sys_color_light_on_error
color,m3_sys_color_light_on_error_container
color,m3_sys_color_light_on_primary
color,m3_sys_color_light_on_primary_container
color,m3_sys_color_light_on_secondary
color,m3_sys_color_light_on_secondary_container
color,m3_sys_color_light_on_surface
color,m3_sys_color_light_on_surface_variant
color,m3_sys_color_light_on_tertiary
color,m3_sys_color_light_on_tertiary_container
color,m3_sys_color_light_outline
color,m3_sys_color_light_outline_variant
color,m3_sys_color_light_primary
color,m3_sys_color_light_primary_container
color,m3_sys_color_light_secondary
color,m3_sys_color_light_secondary_container
color,m3_sys_color_light_surface
color,m3_sys_color_light_surface_bright
color,m3_sys_color_light_surface_container
color,m3_sys_color_light_surface_container_high
color,m3_sys_color_light_surface_container_highest
color,m3_sys_color_light_surface_container_low
color,m3_sys_color_light_surface_container_lowest
color,m3_sys_color_light_surface_dim
color,m3_sys_color_light_surface_variant
color,m3_sys_color_light_tertiary
color,m3_sys_color_light_tertiary_container
color,m3_sys_color_on_primary_fixed
color,m3_sys_color_on_primary_fixed_variant
color,m3_sys_color_on_secondary_fixed
color,m3_sys_color_on_secondary_fixed_variant
color,m3_sys_color_on_tertiary_fixed
color,m3_sys_color_on_tertiary_fixed_variant
color,m3_sys_color_primary_fixed
color,m3_sys_color_primary_fixed_dim
color,m3_sys_color_secondary_fixed
color,m3_sys_color_secondary_fixed_dim
color,m3_sys_color_tertiary_fixed
color,m3_sys_color_tertiary_fixed_dim
color,material_harmonized_color_error
color,material_harmonized_color_error_container
color,material_harmonized_color_on_error
color,material_harmonized_color_on_error_container
color,material_personalized_color_background
color,material_personalized_color_control_activated
color,material_personalized_color_control_highlight
color,material_personalized_color_control_normal
color,material_personalized_color_error
color,material_personalized_color_error_container
color,material_personalized_color_on_background
color,material_personalized_color_on_error
color,material_personalized_color_on_error_container
color,material_personalized_color_on_primary
color,material_personalized_color_on_primary_container
color,material_personalized_color_on_secondary
color,material_personalized_color_on_secondary_container
color,material_personalized_color_on_surface
color,material_personalized_color_on_surface_inverse
color,material_personalized_color_on_surface_variant
color,material_personalized_color_on_tertiary
color,material_personalized_color_on_tertiary_container
color,material_personalized_color_outline
color,material_personalized_color_outline_variant
color,material_personalized_color_primary
color,material_personalized_color_primary_container
color,material_personalized_color_primary_inverse
color,material_personalized_color_secondary
color,material_personalized_color_secondary_container
color,material_personalized_color_surface
color,material_personalized_color_surface_bright
